D,AZ,ELEV,TILT,CLASS,FQ,OBS,RSRP
292.6407008,51.41790553,4.493905078,1.493905078,3,1800,0,-77
294.970586,51.26044372,4.458552742,1.458552742,3,1800,0,-77
297.5624969,51.24840024,4.419871185,1.419871185,3,1800,0,-75
300.1111541,51.19492102,4.572234371,1.572234371,3,1800,0,-73
303.5962403,51.17170974,4.519966857,1.519966857,3,1800,0,-72
307.865584,51.14135422,4.457540339,1.457540339,3,1800,0,-71
311.2848221,51.16342782,4.408771596,1.408771596,3,1800,0,-70
319.9969937,51.15998802,4.289193474,1.289193474,3,1800,0,-72
324.3093717,51.16987254,4.232368224,1.232368224,3,1800,0,-74
327.7502538,51.20960997,4.188093696,1.188093696,3,1800,0,-75
331.3654257,51.3013475,3.970519118,0.970519118,3,1800,0,-79
335.8534987,51.4578913,3.917626662,0.917626662,3,1800,0,-81
343.5516538,52.08769699,3.830106464,0.830106464,3,1800,0,-79
343.5516538,52.08769699,3.830106464,0.830106464,3,1800,0,-79
345.9641033,52.62416118,3.803477336,0.803477336,3,1800,0,-76
347.6495095,53.18230397,3.785091795,0.785091795,3,1800,0,-80
346.7280131,53.72812948,3.795122046,0.795122046,3,1800,0,-77
345.512188,54.13839687,3.808437493,0.808437493,3,1800,0,-77
343.4187139,54.41786244,3.831584711,0.831584711,3,1800,0,-81
340.1415804,54.59853588,3.868389007,0.868389007,3,1800,0,-78
336.0028305,54.74321177,3.915890946,0.915890946,3,1800,0,-77
332.5322223,54.80152655,4.128076672,1.128076672,3,1800,0,-76
328.2821149,54.87711139,4.181332507,1.181332507,3,1800,0,-74
324.8909772,54.9142473,4.224819083,1.224819083,3,1800,0,-74
320.6417308,54.99312723,4.280600978,1.280600978,3,1800,0,-74
317.1437926,55.03760113,4.327635486,1.327635486,3,1800,0,-74
313.7532748,55.07778975,4.374220754,1.374220754,3,1800,0,-74
310.2847334,55.14402703,4.422925355,1.422925355,3,1800,0,-73
306.9237922,55.20632221,4.471162867,1.471162867,3,1800,0,-73
304.3131985,55.23144925,4.509361841,1.509361841,3,1800,0,-74
301.7026742,55.25701113,4.359454021,1.359454021,3,1800,0,-74
296.4818108,55.30948525,4.435917577,1.435917577,3,1800,0,-74
293.8420927,55.31551186,4.475606266,1.475606266,3,1800,0,-73
291.2317712,55.34274623,4.515556125,1.515556125,3,1800,0,-73
287.7247696,55.30475146,4.570363271,1.570363271,3,1800,0,-72
285.1144089,55.33247162,4.612027461,1.612027461,3,1800,0,-72
283.3609366,55.31311807,4.640442994,1.640442994,3,1800,0,-73
281.4710232,55.27765303,4.671463414,1.671463414,3,1800,0,-74
279.6591658,55.21374717,4.70159367,1.70159367,3,1800,0,-73
276.9902576,55.19703326,4.746689328,1.746689328,3,1800,0,-72
274.2922276,55.15757751,4.793162869,1.793162869,3,1800,0,-71
271.536428,55.07203624,4.841578177,1.841578177,3,1800,0,-72
268.7525227,54.96184136,5.103061833,2.103061833,3,1800,0,-72
265.1612212,54.84593935,5.171804564,2.171804564,3,1800,0,-71
261.4353843,54.70947355,5.245102114,2.245102114,3,1800,0,-71
257.7906267,54.53893467,5.098412281,2.098412281,3,1800,0,-71
254.013046,54.34542263,5.173825323,2.173825323,3,1800,0,-71
250.3461448,54.13985874,5.249187709,2.249187709,3,1800,0,-70
246.6015771,53.95947257,5.328439595,2.328439595,3,1800,0,-70
242.1045918,53.81732635,5.426827458,2.426827458,3,1800,0,-70
238.4987071,53.64531727,5.508375264,2.508375264,3,1800,0,-71
234.8129553,53.50072594,6.077257354,3.077257354,3,1800,0,-72
232.0188772,53.32757766,6.149884964,3.149884964,3,1800,0,-72
228.4954376,53.22170835,6.243973833,3.243973833,3,1800,0,-73
225.7300079,53.06775914,6.31985382,3.31985382,3,1800,0,-75
222.1003535,52.96119787,6.422279364,3.422279364,3,1800,0,-75
